Fire_Name,Date_Ignited,Date_Contained,Acres_Burned
Calabasas,5/11/2000,5/12/2000,1024.24
Wolf,5/1/2002,5/14/2002,21641.14
Piru,10/23/2003,11/14/2003,63991
Verdale,10/24/2003,10/24/2003,8474.28
Simi,10/25/2003,11/5/2003,107540.4
Springs,5/2/2013,5/6/2013,24251
Springs,5/2/2013,5/6/2013,24251
Solimar,12/25/2015,12/29/2015,1287
Pine Fire,6/30/2016,6/30/2016,2304
Rey,7/18/2016,8/15/2016,32580.44
Thomas Fire,12/4/2017,1/12/2018,281893
Hill Fire,11/8/2018,1/4/2019,4381
Woolsey,11/8/2018,11/21/2018,96949
Easy Fire,10/30/2019,11/2/2019,2375
Maria Fire,10/31/2019,11/6/2019,9999
South Fire,12/9/2023,12/12/2023,2715
Mountain,10/6/2024,10/26/2024,19902.06
Franklin,12/9/2024,12/18/2024,4037
