Year,Season,T_mean,T_max,T_min,RH_min,Wind_max,Precip,RedFlag,SantaAna,DiurnalRange,Station,Total_Fires,Total_Acres_Burned,Max_Acres_Burned,PDSI,ONI,ENSO_Phase,ENSO_Phase_Code
2000,Fall,56.75328438040709,65.66695652173912,49.03478260869565,11.69,32.21,0.22,3,4,16.632173913043474,KOXR,0.0,0.0,0.0,-0.3533333333333333,-0.63,La Nina,-1.0
2000,Spring,60.43792660415474,66.91318681318681,54.53626373626374,16.5,32.21,0.0,0,0,12.37692307692307,KOXR,1.0,1024.24,1024.24,1.38,-0.81,La Nina,-1.0
2000,Summer,64.49511710387695,71.28307692307692,58.738021978021976,29.1,21.85,0.0,0,0,12.545054945054943,KOXR,0.0,0.0,0.0,0.8366666666666666,-0.55,La Nina,-1.0
2000,Winter,54.42768680132444,61.50444444444444,48.04888888888888,14.9,32.21,0.0,0,2,13.455555555555556,KOXR,0.0,0.0,0.0,-0.2733333333333332,-1.66,La Nina,-1.0
2001,Fall,56.678358099295345,64.01260869565218,50.25826086956522,18.44,34.52,0.79,0,4,13.754347826086956,KOXR,0.0,0.0,0.0,-0.47,-0.29,Neutral,0.0
2001,Spring,59.122089607613454,65.21692307692308,53.70065934065934,10.73,31.07,0.49,1,1,11.516263736263738,KOXR,0.0,0.0,0.0,0.6166666666666667,-0.34,Neutral,0.0
2001,Summer,62.5051547483157,68.85673913043478,57.60891304347827,26.92,57.53,0.02,0,0,11.247826086956508,KOXR,0.0,0.0,0.0,-0.3233333333333333,-0.08,Neutral,0.0
2001,Winter,53.34112954846776,60.892,46.498,13.47,29.93,0.18,1,1,14.393999999999998,KOXR,0.0,0.0,0.0,1.26,-0.68,La Nina,-1.0
2002,Fall,57.73081482521671,65.90260869565218,50.36978260869566,9.06,31.07,1.95,1,1,15.532826086956518,KOXR,0.0,0.0,0.0,-1.096666666666667,1.21,El Nino,1.0
2002,Spring,57.93384620378301,64.11280898876404,52.216629213483145,27.07,25.32,0.03,0,0,11.8961797752809,KOXR,1.0,21641.14,21641.14,-4.323333333333333,0.2,Neutral,0.0
2002,Summer,62.66166270206039,69.35782608695652,57.6754347826087,8.69,23.02,0.0,0,0,11.682391304347824,KOXR,0.0,0.0,0.0,-5.403333333333333,0.79,El Nino,1.0
2002,Winter,53.184989663167514,62.76179775280899,44.40179775280899,12.49,33.38,0.1999999999999999,3,3,18.36,KOXR,0.0,0.0,0.0,-2.033333333333333,-0.15,Neutral,0.0
2003,Fall,57.39329055423097,65.58173913043478,50.10369565217391,9.83,33.38,2.45,3,2,15.478043478260872,KOXR,3.0,180005.68,107540.4,-0.88,0.29,Neutral,0.0
2003,Spring,58.304527342563134,64.42373626373627,52.8523076923077,15.06,29.93,0.4,0,1,11.571428571428577,KOXR,0.0,0.0,0.0,1.97,-0.04,Neutral,0.0
2003,Summer,64.99158651828152,71.42391304347827,59.79630434782609,17.81,23.02,0.08,0,0,11.627608695652178,KOXR,0.0,0.0,0.0,0.9666666666666668,0.08,Neutral,0.0
2003,Winter,56.98529201935995,65.956,48.754,10.85,32.21,3.35,4,7,17.202000000000005,KOXR,0.0,0.0,0.0,-0.0066666666666666,0.92,El Nino,1.0
2004,Fall,59.16532445888619,66.80847826086956,52.467173913043474,8.78,35.68,7.12,2,5,14.341304347826089,KOXR,0.0,0.0,0.0,3.1133333333333333,0.67,El Nino,1.0
2004,Spring,61.71698904067346,68.70615384615385,55.35648351648352,18.39,31.07,0.11,0,0,13.349670329670332,KOXR,0.0,0.0,0.0,-2.8533333333333335,0.17,Neutral,0.0
2004,Summer,67.05401698769494,74.00652173913043,61.22847826086957,7.9,32.21,0.1,0,0,12.778043478260862,KOXR,0.0,0.0,0.0,-3.463333333333334,0.47,Neutral,0.0
2004,Winter,54.30704235387934,63.050989010989014,47.17340659340659,10.33,32.21,5.78,1,3,15.877582417582424,KOXR,0.0,0.0,0.0,-1.66,0.37,Neutral,0.0
2005,Fall,58.81244514236598,67.38956521739131,51.74717391304347,7.91,28.77,1.47,3,3,15.642391304347832,KOXR,0.0,0.0,0.0,3.5833333333333335,-0.29,Neutral,0.0
2005,Spring,61.23209777282463,68.22351648351649,55.12307692307692,13.96,36.82,1.48,0,0,13.100439560439568,KOXR,0.0,0.0,0.0,5.34,0.43,Neutral,0.0
2005,Summer,64.15099723460584,70.89173913043479,59.10760869565217,14.65,20.71,0.32,0,0,11.784130434782618,KOXR,0.0,0.0,0.0,4.416666666666667,-0.06,Neutral,0.0
2005,Winter,58.23515472544248,65.49600000000001,51.632,9.87,32.21,20.08,3,2,13.864000000000011,KOXR,0.0,0.0,0.0,6.346666666666667,0.64,El Nino,1.0
2006,Fall,58.42019296834423,68.06260869565217,50.373695652173915,3.9,40.29,1.23,4,5,17.68891304347826,KOXR,0.0,0.0,0.0,-1.356666666666667,0.77,El Nino,1.0
2006,Spring,59.44648189657887,65.85186813186813,54.61670329670329,16.45,29.93,5.37,0,0,11.235164835164838,KOXR,0.0,0.0,0.0,3.3366666666666664,-0.37,Neutral,0.0
2006,Summer,64.43644105409976,71.69,58.73,20.93,23.02,0.08,0,0,12.96,KOXR,0.0,0.0,0.0,-0.2866666666666666,0.1,Neutral,0.0
2006,Winter,53.97585669214306,62.806,45.79600000000001,5.19,32.21,7.74,3,3,17.00999999999999,KOXR,0.0,0.0,0.0,1.7633333333333334,-0.85,La Nina,-1.0
2007,Fall,56.89359836937124,65.47217391304348,49.04717391304348,5.37,33.38,0.21,4,5,16.424999999999997,KOXR,0.0,0.0,0.0,-4.996666666666667,-1.34,La Nina,-1.0
2007,Spring,58.30623540631279,64.76,52.66241758241758,9.2,35.68,1.08,1,1,12.097582417582425,KOXR,0.0,0.0,0.0,-4.920000000000001,-0.32,Neutral,0.0
2007,Summer,64.21827978954106,70.79586956521739,58.64195652173913,36.4,20.71,0.01,0,0,12.153913043478257,KOXR,0.0,0.0,0.0,-5.886666666666667,-0.56,La Nina,-1.0
2007,Winter,54.96028072865111,63.668,47.156,6.29,33.38,3.03,5,6,16.512,KOXR,0.0,0.0,0.0,-2.8466666666666662,0.66,El Nino,1.0
2008,Fall,58.52839324372341,67.89630434782609,50.36586956521739,2.93,33.38,0.59,5,5,17.5304347826087,KOXR,0.0,0.0,0.0,-3.776666666666667,-0.35,Neutral,0.0
2008,Spring,59.11952252144205,67.05252747252747,52.2232967032967,5.71,24.16,0.0,0,0,14.829230769230776,KOXR,0.0,0.0,0.0,-4.163333333333333,-1.01,La Nina,-1.0
2008,Summer,64.9222059294771,70.93282608695652,60.46347826086957,51.55,21.85,0.01,0,0,10.469347826086953,KOXR,0.0,0.0,0.0,-4.31,-0.37,Neutral,0.0
2008,Winter,53.55674804307919,62.64153846153846,45.69384615384616,6.89,32.21,0.15,5,3,16.9476923076923,KOXR,0.0,0.0,0.0,-3.3000000000000003,-1.64,La Nina,-1.0
2009,Fall,57.28580072687939,66.48173913043478,49.223260869565216,5.15,35.68,3.53,4,3,17.25847826086956,KOXR,0.0,0.0,0.0,0.8266666666666667,1.01,El Nino,1.0
2009,Spring,59.54579387242538,66.37010989010989,53.57032967032966,7.23,37.98,0.26,0,0,12.799780219780224,KOXR,0.0,0.0,0.0,-3.986666666666667,-0.33,Neutral,0.0
