Year,Season,T_mean,T_max,T_min,RH_min,Wind_max,Precip,RedFlag,SantaAna,DiurnalRange,Station
1999,Fall,44.339999999999996,45,44.01,100,10.02,0,0,0,0.99,CEEC1
2000,Fall,60.028458444443956,70.16318681318681,53.37230769230769,4,42.99,0.78,7,5,16.79087912087912,CEEC1
2000,Spring,66.56844904286605,79.48384615384614,56.635494505494506,7,33.02,0,1,0,22.84835164835164,CEEC1
2000,Summer,74.49482510452272,88.96681318681318,63.50351648351648,6,21.05,0,0,0,25.463296703296706,CEEC1
2000,Winter,55.68233531714057,64.23244186046512,49.56755813953489,7,36.01,0,5,4,14.664883720930227,CEEC1
2001,Fall,60.06429302629653,70.97822222222223,52.745000000000005,8,34,5.1899999999999995,1,3,18.233222222222224,CEEC1
2001,Spring,64.93467629629312,77.96550561797753,54.70797752808989,10,34,0.9199999999999999,2,2,23.257528089887636,CEEC1
2001,Summer,73.45122801587983,90.26032608695652,61.64021739130435,3,18.01,0,0,0,28.620108695652178,CEEC1
2001,Winter,52.660452628664686,60.777093023255816,46.89511627906977,6,37,15,3,10,13.881976744186048,CEEC1
2002,Fall,59.60767477348789,69.84847826086957,52.93554347826087,5,38.01,5.529999999999999,4,4,16.91293478,CEEC1
2002,Spring,62.57901070913982,77.54901099,51.69120879120879,9,24.99,0.13999999999999968,0,0,25.857802197802208,CEEC1
2002,Summer,75.64428429747493,91.49018867924528,63.41509433962264,6,18.99,0,0,0,28.075094339622638,CEEC1
2002,Winter,56.22748395037139,67.06633333333333,48.731,4,37,1.1800000000000002,8,5,18.33533333333333,CEEC1
2003,Fall,61.312165746302696,72.58652173913043,53.88923913043479,2,31,1.68,4,3,18.697282608695645,CEEC1
2003,Spring,61.374733827112486,75.06450549,51.582087912087914,6,24.99,3.4399999999999995,0,0,23.482417582417582,CEEC1
2003,Summer,77.46247853100371,94.37869565217392,64.84793478,5,21,0.15000000000000213,0,0,29.530760869565214,CEEC1
2003,Winter,59.02983535537666,68.34775280898876,52.52752808988764,7,55.01,9.21,5,9,15.82022471910112,CEEC1
2004,Fall,58.230758960153686,67.6625,51.68478260869565,9,38.99,10.97,7,9,15.977717391304346,CEEC1
2004,Spring,65.70005649911685,79.85505494505495,55.54989010989011,3,31,0.040000000000000036,1,0,24.305164835164838,CEEC1
2004,Summer,74.35049435,90.77163043478261,62.21717391304348,5,28.01,0,1,1,28.554456521739127,CEEC1
2004,Winter,56.827798230427206,66.68153846153845,49.527362637362636,4,32.99,4.66,7,10,17.154175824175816,CEEC1
2005,Fall,61.983366059460394,71.55456521739131,55.18304347826087,6,31,2.33,5,5,16.371521739130444,CEEC1
2005,Spring,63.26270702258223,76.34164835164836,53.64879120879121,13,31.99,0.96,1,0,22.69285714285715,CEEC1
2005,Summer,74.08504740494226,89.89043478,62.47554347826087,10,32.99,0.020000000000000018,0,1,27.414891304347826,CEEC1
2005,Winter,55.13684210950668,63.302359550561796,49.69404494382023,11,51.99,20.67,1,10,13.608314606741565,CEEC1
2006,Fall,61.91704478731072,73.34891304347826,53.95684782608696,4,32.01,1.26,2,3,19.392065217391306,CEEC1
2006,Spring,65.02999478,78.96736263736264,54.64703296703297,12,27,3.49,0,0,24.32032967032967,CEEC1
2006,Summer,77.06003117,93.22739130434783,64.51097826086956,6,18.99,0.02,0,0,28.71641304347827,CEEC1
2006,Winter,54.49124421122772,64.25275862068965,47.36747126436782,5,41.99,8.28,1,3,16.885287356321825,CEEC1
2007,Fall,59.44472764390897,69.36216867,51.506987951807226,5,42.99,2.11,7,5,17.855180722891568,CEEC1
2007,Spring,64.29222149227584,79.90208791208791,52.714615384615385,5,25.99,0.6299999999999999,1,0,27.187472527472522,CEEC1
2007,Summer,75.10419926030067,91.21891304347825,62.92521739130434,6,17,0.03,0,0,28.29369565217391,CEEC1
2007,Winter,56.60058588566828,67.40011111111112,48.32188888888889,5,32.99,2.6799999999999997,8,5,19.078222222222223,CEEC1
2008,Fall,63.63561895586298,73.48934782608696,56.15206522,3,32.99,3.58,6,4,17.337282608695652,CEEC1
2008,Spring,66.69281294792164,81.86934065934065,54.73582417582418,4,24.99,0.06,0,0,27.133516483516473,CEEC1
2008,Summer,75.24784195753016,90.85793478,63.13065217391305,7,18.01,0,0,0,27.727282608695646,CEEC1
