Year,Season,T_mean,T_max,T_min,RH_min,Wind_max,Precip,RedFlag,SantaAna,DiurnalRange,Station
1999,Fall,44.004999999999995,46.0,42.01,96.0,4.03,0.0,0,0,3.990000000000002,DVLC1
2000,Fall,58.973085001894745,73.73626373626374,47.52813186813187,4.0,24.99,0.6300000000000003,0,0,26.208131868131865,DVLC1
2000,Spring,67.076562133168,82.76967032967033,53.90087912087912,6.0,20.02,0.0,0,0,28.868791208791215,DVLC1
2000,Summer,75.26618116767145,93.26340659340659,60.83516483516483,3.0,15.99,0.0,0,0,32.428241758241754,DVLC1
2000,Winter,54.596344647902846,65.94298850574712,45.530459770114945,5.0,21.99,0.0,0,0,20.41252873563218,DVLC1
2001,Fall,59.205912579049034,74.15644444444445,48.378888888888895,5.0,25.99,3.1500000000000004,0,0,25.77755555555555,DVLC1
2001,Spring,66.13610668255548,82.2358426966292,49.84348314606741,6.0,23.0,1.0899999999999999,0,0,32.39235955056179,DVLC1
2001,Summer,75.23440298317864,94.29369565217392,59.59815217391304,6.0,89.99,0.0,0,1,34.69554347826088,DVLC1
2001,Winter,53.07455559633193,64.50609195402299,43.58620689655172,4.0,99.99,13.7,0,1,20.91988505747127,DVLC1
2002,Fall,58.54814609386471,70.99963855421687,48.78349397590362,4.0,71.0,6.32,1,0,22.216144578313255,DVLC1
2002,Spring,64.9324297926283,81.37384615384616,50.53912087912089,6.0,32.99,0.0799999999999983,1,0,30.834725274725272,DVLC1
2002,Summer,75.67134558876418,94.67423913043478,59.966847826086955,5.0,72.99,0.0,1,0,34.70739130434783,DVLC1
2002,Winter,55.06374500929121,70.07655555555556,43.089333333333336,3.0,24.99,1.1799999999999997,0,0,26.987222222222222,DVLC1
2003,Fall,59.509230959046235,74.27065217391304,47.93478260869565,3.0,89.99,2.48,0,0,26.335869565217386,DVLC1
2003,Spring,62.69300970233911,77.47318681318681,50.32010989010989,4.0,30.0,2.3599999999999994,0,0,27.153076923076924,DVLC1
2003,Summer,78.73288438088404,98.51043478260868,62.53282608695652,4.0,38.99,0.010000000000001563,0,1,35.977608695652165,DVLC1
2003,Winter,58.24071105226558,70.91122222222222,48.26722222222222,7.0,32.99,9.54,1,2,22.644,DVLC1
2004,Fall,57.08739123693729,69.685,47.21815217391304,6.0,21.0,11.72,0,0,22.466847826086962,DVLC1
2004,Spring,66.7616669686154,82.69131868131868,52.911428571428566,3.0,78.99,1.3499999999999979,1,2,29.77989010989011,DVLC1
