Year,Season,T_mean,T_max,T_min,RH_min,Wind_max,Precip,RedFlag,SantaAna,DiurnalRange,Station
2000,Fall,56.83592256727477,67.97912087912088,47.03098901098901,10.19,36.82,0.81,7,7,20.948131868131874,KCMA
2000,Spring,62.77728542204777,72.33296703296703,54.800000000000004,12.6,27.63,0.0,0,1,17.53296703296703,KCMA
2000,Summer,66.83750057020177,76.5367032967033,58.892967032967036,22.2,18.41,0.0,0,0,17.64373626373626,KCMA
2000,Winter,55.06350684613285,64.22093023255815,47.300000000000004,6.3,34.52,0.0,1,3,16.920930232558142,KCMA
2001,Fall,57.19016846518628,66.79086956521739,49.03739130434782,15.16,35.68,3.04,0,2,17.75347826086957,KCMA
2001,Spring,61.000706279158884,69.94813186813187,53.80417582417583,10.51,33.38,0.87,1,1,16.143956043956038,KCMA
2001,Summer,64.9649696081497,73.90260869565218,58.457608695652176,32.65,14.97,0.0,0,0,15.445,KCMA
2001,Winter,53.93848230368913,62.932,45.571999999999996,12.28,34.52,12.02,2,5,17.360000000000007,KCMA
2002,Fall,58.11643021507345,68.0,49.02173913043478,9.47,34.52,5.58,2,4,18.97826086956522,KCMA
2002,Spring,59.187214863929235,67.8523595505618,51.642247191011236,26.99,25.32,0.06,0,0,16.210112359550564,KCMA
2002,Summer,65.12428569792021,74.96326086956522,58.146956521739135,20.26,16.11,0.02,0,0,16.816304347826083,KCMA
2002,Winter,53.520846634821815,65.48606741573035,41.99910112359551,7.56,42.57,1.3900000000000001,6,6,23.486966292134838,KCMA
2003,Fall,58.06184196945168,68.7395652173913,48.70869565217391,7.43,32.21,0.86,3,3,20.030869565217394,KCMA
2003,Spring,59.81450788136248,68.62307692307692,52.47846153846154,12.06,29.93,1.99,0,0,16.144615384615385,KCMA
2003,Summer,67.03022216792819,76.67521739130434,59.7454347826087,38.49,14.97,0.02,0,0,16.929782608695646,KCMA
2003,Winter,57.68530295262134,68.75,47.626000000000005,9.18,36.82,7.300000000000001,8,9,21.123999999999995,KCMA
