Year,Season,T_mean,T_max,T_min,RH_min,Wind_max,Precip,RedFlag,SantaAna,DiurnalRange,Station
2000,Fall,58.390124949097114,66.03928571428571,49.50928571428571,5.63,32.21,0.0,3,5,16.53,KNTD
2000,Spring,58.3091999471954,64.109375,50.528125,6.3,35.68,0.0,0,1,13.581249999999997,KNTD
2000,Summer,66.1052139441394,72.41538461538461,58.629487179487185,27.28,21.85,0.0,0,0,13.785897435897425,KNTD
2000,Winter,54.61499472557544,60.58983050847458,48.26101694915254,15.7,28.77,0.0,0,2,12.328813559322036,KNTD
2001,Fall,57.995646635035214,64.715,50.24857142857143,11.27,79.41,0.0,1,1,14.466428571428573,KNTD
2001,Spring,60.1355842780743,65.95730337078652,52.85168539325843,9.6,27.63,0.0,1,1,13.105617977528091,KNTD
2001,Summer,63.938558631709235,70.19164835164835,57.401758241758245,50.25,21.85,0.11,0,0,12.78989010989011,KNTD
2001,Winter,54.16618462077534,60.90255813953488,46.58837209302325,5.06,134.64,0.0,0,4,14.31418604651163,KNTD
2002,Fall,58.932313426361596,66.426,50.053999999999995,7.47,39.12,0.95,1,1,16.372000000000007,KNTD
2002,Spring,58.72186461220935,64.625,50.49704545454545,34.52,169.16,0.02,0,0,14.12795454545455,KNTD
2002,Summer,63.58589372061866,69.99213483146067,57.032134831460674,38.53,18.41,0.03,0,0,12.96,KNTD
2002,Winter,54.13733963076755,63.005517241379316,43.404137931034484,1.7,34.52,0.0,4,4,19.601379310344832,KNTD
2003,Fall,58.80157533071739,66.56,50.60620689655172,7.69,100.13,1.1400000000000001,0,0,15.953793103448284,KNTD
2003,Spring,58.77479174304435,64.93727272727273,51.38545454545454,17.34,31.07,1.05,0,0,13.551818181818184,KNTD
2003,Summer,66.33250223062147,72.4643956043956,60.127472527472534,44.61,123.14,0.0,0,0,12.336923076923071,KNTD
2003,Winter,57.57889261433143,66.13720930232559,47.632790697674416,10.02,149.61,0.0,2,5,18.50441860465117,KNTD
2004,Fall,59.19520331138548,67.27790697674418,50.09418604651163,10.08,32.21,1.5799999999999998,1,5,17.183720930232546,KNTD
2004,Spring,60.88055820612986,68.51168539325843,52.15191011235956,9.06,25.32,0.0,0,0,16.359775280898873,KNTD
2004,Summer,66.07907210868169,73.71695652173914,57.34086956521739,8.41,27.63,0.0,0,0,16.376086956521746,KNTD
2004,Winter,55.343179689782474,63.940000000000005,46.854,12.25,32.21,2.6799999999999997,0,2,17.086000000000006,KNTD
2005,Fall,60.19306948016884,68.53780487804879,50.88024390243903,6.57,29.93,0.66,3,4,17.657560975609762,KNTD
2005,Spring,60.12921372252985,67.18494382022472,51.25191011235955,18.65,33.38,2.25,0,0,15.933033707865164,KNTD
2005,Summer,64.44029844507875,71.862,55.6,13.0,24.16,0.03,0,0,16.261999999999993,KNTD
2005,Winter,57.39184794785661,64.1,50.12827586206896,15.71,97.82,0.48,0,3,13.971724137931034,KNTD
2006,Fall,60.182660170542,68.93642857142856,50.244285714285716,4.42,35.68,41.23,3,4,18.692142857142848,KNTD
2006,Spring,60.25796098631069,66.05272727272728,53.8925,20.04,75.94,2.56,0,0,12.160227272727283,KNTD
2006,Summer,66.2674305647759,73.16337078651685,58.26786516853933,36.01,28.77,31.47,0,0,14.89550561797752,KNTD
