Year,Season,T_mean,T_max,T_min,RH_min,Wind_max,Precip,RedFlag,SantaAna,DiurnalRange,Station
1999,Fall,51.449999999999996,54.0,45.0,60.2,13.8,0.0,0,0,9.0,KOXR
2000,Fall,56.75328438040709,65.66695652173912,49.03478260869565,11.69,32.21,0.22,3,4,16.632173913043474,KOXR
2000,Spring,60.43792660415474,66.91318681318681,54.53626373626374,16.5,32.21,0.0,0,0,12.37692307692307,KOXR
2000,Summer,64.49511710387695,71.28307692307692,58.738021978021976,29.1,21.85,0.0,0,0,12.545054945054943,KOXR
2000,Winter,54.42768680132444,61.50444444444444,48.04888888888888,14.9,32.21,0.0,0,2,13.455555555555556,KOXR
2001,Fall,56.678358099295345,64.01260869565218,50.25826086956522,18.44,34.52,0.79,0,4,13.754347826086956,KOXR
2001,Spring,59.122089607613454,65.21692307692308,53.70065934065934,10.73,31.07,0.49,1,1,11.516263736263738,KOXR
2001,Summer,62.5051547483157,68.85673913043478,57.60891304347827,26.92,57.53,0.02,0,0,11.247826086956508,KOXR
2001,Winter,53.34112954846776,60.891999999999996,46.498,13.47,29.93,0.18000000000000002,1,1,14.393999999999998,KOXR
2002,Fall,57.73081482521671,65.90260869565218,50.36978260869566,9.06,31.07,1.95,1,1,15.532826086956518,KOXR
2002,Spring,57.93384620378301,64.11280898876404,52.216629213483145,27.07,25.32,0.03,0,0,11.896179775280899,KOXR
2002,Summer,62.66166270206039,69.35782608695652,57.6754347826087,8.69,23.02,0.0,0,0,11.682391304347824,KOXR
2002,Winter,53.184989663167514,62.76179775280899,44.40179775280899,12.49,33.38,0.19999999999999998,3,3,18.36,KOXR
2003,Fall,57.39329055423097,65.58173913043478,50.10369565217391,9.83,33.38,2.45,3,2,15.478043478260872,KOXR
2003,Spring,58.304527342563134,64.42373626373627,52.8523076923077,15.06,29.93,0.4,0,1,11.571428571428577,KOXR
2003,Summer,64.99158651828152,71.42391304347827,59.79630434782609,17.81,23.02,0.08,0,0,11.627608695652178,KOXR
2003,Winter,56.98529201935995,65.956,48.754,10.85,32.21,3.35,4,7,17.202000000000005,KOXR
2004,Fall,59.16532445888619,66.80847826086956,52.467173913043474,8.78,35.68,7.12,2,5,14.341304347826089,KOXR
2004,Spring,61.71698904067346,68.70615384615385,55.35648351648352,18.39,31.07,0.11,0,0,13.349670329670332,KOXR
2004,Summer,67.05401698769494,74.00652173913043,61.22847826086957,7.9,32.21,0.1,0,0,12.778043478260862,KOXR
2004,Winter,54.30704235387934,63.050989010989014,47.17340659340659,10.33,32.21,5.78,1,3,15.877582417582424,KOXR
2005,Fall,58.81244514236598,67.38956521739131,51.747173913043476,7.91,28.77,1.47,3,3,15.642391304347832,KOXR
2005,Spring,61.23209777282463,68.22351648351649,55.12307692307692,13.96,36.82,1.48,0,0,13.100439560439568,KOXR
2005,Summer,64.15099723460584,70.89173913043479,59.10760869565217,14.65,20.71,0.32,0,0,11.784130434782618,KOXR
2005,Winter,58.23515472544248,65.49600000000001,51.632,9.87,32.21,20.08,3,2,13.864000000000011,KOXR
2006,Fall,58.42019296834423,68.06260869565217,50.373695652173915,3.9,40.29,1.23,4,5,17.68891304347826,KOXR
