Year,Season,T_mean,T_max,T_min,RH_min,Wind_max,Precip,RedFlag,SantaAna,DiurnalRange,Station
1999,Fall,51.5,55.0,50.0,71.0,8.05,0.0,0,0,5.0,LCBC1
2000,Fall,60.30435151819317,69.82428571428572,52.440219780219785,4.0,23.0,11.66,0,0,17.384065934065937,LCBC1
2000,Spring,62.346679027269204,71.50516483516483,54.638681318681314,7.0,21.05,0.0,0,0,16.86648351648352,LCBC1
2000,Summer,67.34258506106504,77.19868131868132,59.440219780219785,16.0,20.02,0.0,0,0,17.75846153846154,LCBC1
2000,Winter,57.26069712844896,65.86045977011494,50.40068965517241,8.0,20.02,0.0,0,0,15.459770114942536,LCBC1
2001,Fall,59.597685506455534,68.19911111111111,52.955,14.0,23.0,3.74,0,0,15.24411111111111,LCBC1
2001,Spring,60.94004808506651,69.38168539325844,53.482696629213486,9.0,18.99,0.8599999999999994,0,0,15.898988764044951,LCBC1
2001,Summer,65.31767197816927,75.04228260869566,57.90054347826087,33.0,28.01,0.0,0,0,17.141739130434786,LCBC1
2001,Winter,55.71557525123557,64.2867816091954,48.220000000000006,6.0,28.99,24.35,0,1,16.066781609195395,LCBC1
2002,Fall,61.373782338512896,70.18651162790698,53.932325581395354,6.0,22.01,4.35,0,0,16.254186046511627,LCBC1
2002,Spring,59.96605943452416,68.76846153846154,52.340439560439556,18.0,21.0,0.19000000000000128,0,0,16.42802197802198,LCBC1
2002,Summer,65.3741828685967,74.52152173913043,57.32380434782608,17.0,21.0,0.07000000000000028,0,0,17.19771739130435,LCBC1
2002,Winter,57.205362804046956,67.00922222222222,49.02277777777778,6.0,21.0,1.9899999999999984,0,0,17.986444444444437,LCBC1
2003,Fall,60.78400421962026,70.28304347826086,53.23967391304348,6.0,18.99,1.52,0,0,17.043369565217382,LCBC1
2003,Spring,59.72342916902536,67.92241758241758,52.61527472527472,20.0,77.0,2.3099999999999987,0,0,15.307142857142857,LCBC1
2003,Summer,67.39466083620003,76.25923913043479,59.90217391304348,30.0,62.99,0.009999999999999787,0,0,16.357065217391316,LCBC1
2003,Winter,60.84321302569593,69.68911111111112,53.31155555555556,7.0,48.0,7.370000000000001,1,1,16.37755555555556,LCBC1
2004,Fall,60.32512413179527,69.14010869565217,53.14293478260869,7.0,44.0,5.68,0,0,15.997173913043483,LCBC1
2004,Spring,62.84733618825126,71.96692307692308,54.450879120879115,8.0,78.99,0.0,0,0,17.516043956043966,LCBC1
2004,Summer,67.63042431181744,77.15195652173912,59.4354347826087,6.0,87.98,0.019999999999999574,0,0,17.71652173913042,LCBC1
2004,Winter,57.68862752840665,66.69098901098901,50.32967032967033,8.0,44.98,6.930000000000001,1,0,16.361318681318686,LCBC1
2005,Fall,61.5575689308014,70.15358695652174,54.22913043478261,1.0,180.99,2.5,5,0,15.924456521739124,LCBC1
2005,Spring,60.49655037730282,68.86934065934065,52.68263736263736,9.0,178.98,1.4199999999999982,0,0,16.186703296703293,LCBC1
2005,Summer,65.36638255018454,74.8145652173913,57.804456521739134,11.0,20.0,0.0,0,0,17.01010869565217,LCBC1
2005,Winter,58.5136605325836,66.49337078651685,51.87719101123595,8.0,23.0,15.760000000000002,0,0,14.616179775280898,LCBC1
2006,Fall,62.151594920580365,72.1525,54.01097826086957,5.0,187.01,1.25,2,1,18.141521739130432,LCBC1
2006,Spring,61.21675331655921,69.37307692307692,54.18670329670329,16.0,106.01,3.8200000000000003,0,1,15.18637362637363,LCBC1
2006,Summer,67.86942688514226,77.20771739130434,59.869239130434785,13.0,186.0,0.0,0,0,17.338478260869557,LCBC1
2006,Winter,56.87871691349498,65.66701149425288,48.55183908045977,5.0,65.01,6.949999999999999,0,0,17.115172413793104,LCBC1
2007,Fall,60.84906484457047,69.82673913043479,52.68576086956522,3.0,24.0,2.4899999999999998,0,0,17.140978260869566,LCBC1
2007,Spring,60.152359452142065,69.01087912087912,52.27494505494506,7.0,20.0,0.6899999999999995,0,0,16.735934065934067,LCBC1
2007,Summer,67.17156026509261,76.42304347826087,59.371086956521744,30.0,23.0,0.20999999999999996,0,0,17.051956521739122,LCBC1
2007,Winter,57.990440894451766,67.58844444444445,49.711333333333336,6.0,194.99,3.62,1,0,17.877111111111113,LCBC1
2008,Fall,62.46427925402418,72.27271739130435,54.436413043478254,4.0,24.99,3.16,0,0,17.8363043478261,LCBC1
2008,Spring,61.582905844155846,70.93351648351648,52.395164835164834,7.0,22.01,0.15000000000000036,0,0,18.53835164835165,LCBC1
2008,Summer,67.28848864113984,75.99844155844156,59.89714285714285,20.0,20.0,10.73,0,0,16.101298701298703,LCBC1
2008,Winter,56.77305562191432,65.26395604395604,48.86857142857143,6.0,25.99,8.07,0,1,16.395384615384614,LCBC1
