Year,Season,ONI,ENSO_Phase
2000,Winter,-1.66,La Nina
2000,Spring,-0.81,La Nina
2000,Summer,-0.55,La Nina
2000,Fall,-0.63,La Nina
2001,Winter,-0.68,La Nina
2001,Spring,-0.34,Neutral
2001,Summer,-0.08,Neutral
2001,Fall,-0.29,Neutral
2002,Winter,-0.15,Neutral
2002,Spring,0.2,Neutral
2002,Summer,0.79,El Nino
2002,Fall,1.21,El Nino
2003,Winter,0.92,El Nino
2003,Spring,-0.04,Neutral
2003,Summer,0.08,Neutral
2003,Fall,0.29,Neutral
2004,Winter,0.37,Neutral
2004,Spring,0.17,Neutral
2004,Summer,0.47,Neutral
2004,Fall,0.67,El Nino
2005,Winter,0.64,El Nino
2005,Spring,0.43,Neutral
2005,Summer,-0.06,Neutral
2005,Fall,-0.29,Neutral
2006,Winter,-0.85,La Nina
2006,Spring,-0.37,Neutral
2006,Summer,0.1,Neutral
2006,Fall,0.77,El Nino
2007,Winter,0.66,El Nino
2007,Spring,-0.32,Neutral
2007,Summer,-0.56,La Nina
2007,Fall,-1.34,La Nina
2008,Winter,-1.64,La Nina
2008,Spring,-1.01,La Nina
2008,Summer,-0.37,Neutral
2008,Fall,-0.35,Neutral
2009,Winter,-0.85,La Nina
2009,Spring,-0.33,Neutral
2009,Summer,0.45,Neutral
2009,Fall,1.01,El Nino
2010,Winter,1.5,El Nino
2010,Spring,0.35,Neutral
2010,Summer,-1.05,La Nina
2010,Fall,-1.64,La Nina
2011,Winter,-1.42,La Nina
2011,Spring,-0.73,La Nina
2011,Summer,-0.48,Neutral
2011,Fall,-1.01,La Nina
2012,Winter,-0.86,La Nina
2012,Spring,-0.47,Neutral
2012,Summer,0.25,Neutral
2012,Fall,0.27,Neutral
2013,Winter,-0.43,Neutral
2013,Spring,-0.3,Neutral
2013,Summer,-0.4,Neutral
2013,Fall,-0.18,Neutral
2014,Winter,-0.42,Neutral
2014,Spring,0.04,Neutral
2014,Summer,0.05,Neutral
2014,Fall,0.49,Neutral
2015,Winter,0.55,El Nino
2015,Spring,0.7,El Nino
2015,Summer,1.52,El Nino
2015,Fall,2.42,El Nino
2016,Winter,2.48,El Nino
2016,Spring,0.94,El Nino
2016,Summer,-0.36,Neutral
2016,Fall,-0.69,La Nina
2017,Winter,-0.34,Neutral
2017,Spring,0.2,Neutral
2017,Summer,0.14,Neutral
2017,Fall,-0.65,La Nina
2018,Winter,-0.92,La Nina
2018,Spring,-0.5,La Nina
2018,Summer,0.09,Neutral
2018,Fall,0.76,El Nino
2019,Winter,0.75,El Nino
2019,Spring,0.66,El Nino
2019,Summer,0.28,Neutral
2019,Fall,0.35,Neutral
2020,Winter,0.5,El Nino
2020,Spring,0.19,Neutral
2020,Summer,-0.41,Neutral
2020,Fall,-1.17,La Nina
2021,Winter,-1.05,La Nina
2021,Spring,-0.66,La Nina
2021,Summer,-0.4,Neutral
2021,Fall,-0.81,La Nina
2022,Winter,-0.97,La Nina
2022,Spring,-1.06,La Nina
2022,Summer,-0.81,La Nina
2022,Fall,-0.99,La Nina
2023,Winter,-0.68,La Nina
2023,Spring,0.16,Neutral
2023,Summer,1.07,El Nino
2023,Fall,1.78,El Nino
2024,Winter,1.78,El Nino
2024,Spring,0.71,El Nino
2024,Summer,0.04,Neutral
2024,Fall,-0.26,Neutral
2025,Winter,-0.59,La Nina
